Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_LRH_20230516_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Date,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23
Start Time,10:00:00,10:03:00,10:06:00,10:09:00,10:12:00,10:15:00,10:18:00,10:21:00,10:24:00,10:27:00,10:30:00,10:33:00,10:36:00,10:39:00,10:42:00,10:45:00,10:48:00,10:51:00,10:54:00,10:57:00,11:00:00,11:03:00,11:06:00,11:09:00,11:12:00,11:15:00,11:18:00,11:21:00,11:24:00,11:27:00,11:30:00,11:33:00,11:36:00,11:39:00,11:42:00,11:45:00,11:48:00,11:51:00
Diameter Midpoint
101.8,0,0,1.69987e+006,993930,794617,684272,595432,531928,479766,442351,396614,361803,338748,310034,284949,264003,247495,230245,217595,199093,189183,176965,162881,155504,147378,139257,135653,125349,119608,113234,107247,101460,93968.2,91569.2,82276.1,80682.2,77199.5,74486.3
105.5,0,0,1.70938e+006,1.01011e+006,815278,702009,610396,544267,495193,453972,414163,376471,351975,323300,295727,273540,260159,240889,224740,211280,196581,183499,172666,164489,156998,148808,141486,133444,126656,120253,115172,108322,102540,96519.9,88768,86012.4,81169.6,79340.4
109.4,0,5.4449,1.71048e+006,1.02261e+006,825334,714077,623395,559552,506787,464952,425136,384320,362305,331805,307866,285090,270736,250244,235261,220199,202345,192705,179460,175292,163698,156811,148668,140035,132894,126071,119372,113643,107455,104056,93860.4,90320.4,87530.8,83325.7
113.4,0,0,1.73827e+006,1.02915e+006,831765,715118,631865,570824,510169,473925,435453,393398,373863,342223,316578,290699,281040,259652,243899,227156,211940,200753,185465,178641,172304,163548,156554,147198,139543,131917,125957,118567,112600,107225,97508.1,95003.2,90723.2,88544
117.6,5.38974,5.38974,1.72005e+006,1.02362e+006,830561,727120,641343,572923,518694,479936,439936,399825,381369,352515,324745,300696,286383,266655,248003,230296,218624,204778,194665,186601,175066,169236,160058,150227,141550,135613,132429,125271,115731,111586,102440,98618.1,94884,91677.8
121.9,0,0,1.67604e+006,1.01193e+006,827918,719168,636890,575407,522480,486684,443007,401048,389428,356487,330893,306425,293270,270697,254995,240247,221892,212359,198275,188979,181034,173091,164361,156111,149469,143295,135485,127269,119358,115847,106458,102135,97358.7,94827.5
126.3,0,0,1.62523e+006,1.00768e+006,821659,723389,637209,576192,524080,484247,443580,399450,389065,362477,333709,306492,297303,276007,257937,242541,229373,213902,205090,193512,184214,177137,168150,157711,151913,145043,140098,129369,124969,119323,108162,105841,100962,96474.8
131.0,0,0,1.55225e+006,991107,810018,709413,632861,569060,518748,483682,442553,403107,390233,362587,333074,311277,296359,278438,261486,244818,232671,217427,206139,194567,186478,180001,169688,163166,151199,146243,140613,131999,126514,120252,111572,106838,102075,97360.1
135.8,5.33568,0,1.48506e+006,969007,787071,692748,619118,556547,512189,477565,437393,399738,387561,359458,328616,308025,297532,277332,262355,243917,231536,218256,206066,197094,187195,179990,171414,162153,156726,148011,143635,134783,126631,123100,111419,106499,103537,98524.1
140.7,0,0,1.39149e+006,939193,768957,676727,606404,544674,499959,464874,432728,395544,382779,359392,322558,306866,295848,277047,260211,240699,231244,218996,204201,198653,189284,181938,171697,164265,157856,150431,143138,134138,129391,124452,113835,109031,105755,99639
145.9,0,0,1.3201e+006,900504,744177,655927,589625,529835,493385,454835,424202,387938,381823,352104,321346,300912,290866,271875,257881,242688,230938,217159,203779,196277,185936,180519,174052,164817,156460,149473,142755,134438,130054,123847,111926,109548,104885,99840
