Relative Humidity (%),32.1,38.0,42.7,46.4,49.5,52.2,54.7,56.7,58.5,60.0,61.3,62.3,63.2,63.9,64.5,65.0,65.6,66.1
Mean Free Path (m),8.42487e-008,8.43536e-008,8.43536e-008,8.43901e-008,8.43901e-008,8.44265e-008,8.44629e-008,8.45358e-008,8.46087e-008,8.46816e-008,8.47545e-008,8.47909e-008,8.47909e-008,8.47545e-008,8.47545e-008,8.47180e-008,8.46816e-008,8.47872e-008
Gas Viscosity (Pa*s),1.82528e-005,1.82528e-005,1.82528e-005,1.82576e-005,1.82576e-005,1.82624e-005,1.82672e-005,1.82767e-005,1.82863e-005,1.82958e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.82958e-005,1.82958e-005
Diameter Midpoint (nm)
532.8,0.000,0.000,0.000,0.000,817.451,1600.508,1416.508,1243.714,957.791,869.354,1032.825,877.888,493.151,294.748,480.110,620.190,439.092,369.374
552.3,0.000,0.000,0.000,0.000,1353.522,1270.324,1458.695,1150.235,1242.651,962.166,930.775,734.290,604.636,338.868,424.874,535.936,484.509,378.510
572.5,0.000,0.000,0.000,0.000,1554.882,1380.742,1066.705,925.892,1034.943,881.769,889.621,541.978,565.219,251.489,261.511,365.696,433.394,424.057
593.5,0.000,0.000,0.000,0.000,1667.610,1395.175,823.954,807.815,819.954,492.662,543.909,310.949,450.625,185.874,227.487,261.475,345.435,406.527
615.3,0.000,0.000,0.000,0.000,1395.727,1139.126,673.516,571.637,519.654,449.419,387.639,171.159,230.425,107.670,134.044,201.239,201.036,290.583
637.8,0.000,0.000,7.619,0.000,1097.471,926.547,529.316,403.509,325.827,211.501,247.262,134.986,122.158,55.499,121.947,133.133,140.918,209.917
661.2,0.000,0.000,3.862,0.000,610.178,617.038,333.783,245.146,195.309,119.926,149.878,109.478,122.727,70.432,111.312,76.604,83.804,106.998
685.4,0.000,0.000,0.000,0.000,388.323,378.899,150.600,214.985,116.050,150.448,118.150,156.679,47.179,39.862,105.744,71.444,56.205,71.468
710.5,8.020,0.000,0.000,0.000,284.682,230.413,179.768,135.441,95.698,162.006,144.464,98.481,65.974,27.917,161.379,51.951,43.955,34.138
Scan Time (s),155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
Retrace Time (s),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Scan Resolution (Hz),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sheath Flow (L/min),3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Aerosol Flow (L/min),0.976,0.977,0.977,0.978,0.979,0.978,0.978,0.979,0.979,0.979,0.978,0.979,0.979,0.979,0.978,0.978,0.978,0.978
Bypass Flow (L/min),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Low Voltage (V),11.02,11.01,11.01,11.01,11.01,11.00,11.00,11.00,11.00,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.98
High Voltage (V),9227.72,9224.74,9224.43,9226.03,9225.72,9227.00,9228.92,9232.12,9235.00,9238.19,9241.38,9243.29,9242.97,9241.38,9241.38,9240.10,9238.50,9236.13
Lower Size (nm), 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0
Upper Size (nm),723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4
Density (g/cm³),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
