Relative Humidity (%),18.3,16.9,15.7,14.7,13.9,13.2,12.5,12.0,11.5,11.1,10.7,10.4,10.1,9.8,9.6,9.4,9.2,9.0,8.9,8.7,8.6,8.5,8.4,8.3,8.2,8.1,8.0,7.9,7.7
Mean Free Path (m),8.49661e-008,8.49661e-008,8.49661e-008,8.49661e-008,8.50026e-008,8.49661e-008,8.48966e-008,8.50026e-008,8.50026e-008,8.51089e-008,8.51089e-008,8.51788e-008,8.51788e-008,8.52855e-008,8.52855e-008,8.53925e-008,8.54998e-008,8.56073e-008,8.55705e-008,8.56783e-008,8.56783e-008,8.56783e-008,8.57863e-008,8.57863e-008,8.57863e-008,8.58946e-008,8.58946e-008,8.58946e-008,8.58946e-008
Gas Viscosity (Pa*s),1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005
Diameter Midpoint (nm)
 98.2,0.000,0.000,2571354.107,437618.037,343860.680,296804.386,260379.894,225901.484,198902.628,173855.836,150488.018,137478.624,120336.180,109347.489,94167.060,87050.387,78817.701,70688.581,63139.057,59434.756,55544.807,48845.138,46818.308,42525.306,45605.037,43668.176,41742.922,38539.695,35848.864
101.8,0.000,0.000,2052781.013,453593.073,357988.770,307561.188,274291.032,234943.178,208694.890,185337.309,162579.612,143562.012,129730.926,117630.895,104325.196,92778.504,82199.012,78033.221,69472.895,64396.392,59172.374,55043.345,50519.619,45661.967,51224.947,47237.692,44162.214,42405.433,39309.902
105.5,2.052,1.982,1516720.448,467949.732,373311.155,323334.891,286058.278,247678.232,221138.966,195933.079,172745.010,153950.228,139836.648,124755.172,110957.959,99116.616,92518.869,82674.878,74601.752,67836.750,63674.571,58815.577,53546.964,49202.646,55761.497,50726.238,49043.808,45795.490,42432.695
109.4,0.000,1.941,1059252.112,476387.017,383043.007,331084.816,299481.209,259021.002,230608.129,206721.274,181149.954,165461.826,149477.461,133819.732,117663.691,107432.550,99669.786,88705.946,79243.139,73219.955,69118.380,64178.216,57793.312,53695.513,58975.587,55120.895,52435.753,49759.648,47813.510
113.4,0.000,0.000,711983.631,485756.543,396260.052,343793.249,309667.822,271133.991,239233.130,216528.996,192885.335,174849.557,159724.370,142565.688,125328.051,114239.819,103642.002,95683.102,86514.316,77929.540,72134.016,67509.164,61909.321,57778.370,65282.891,59699.703,54433.401,53850.068,50899.984
117.6,0.000,0.000,467669.660,491526.217,407042.025,353275.690,321868.840,283212.029,252078.931,220414.601,198450.913,183656.626,167464.645,149907.754,133167.259,120060.876,111023.104,101279.044,91958.294,84205.468,77430.090,72499.875,67579.851,61035.587,68630.418,64944.707,58589.249,57898.858,53240.120
121.9,0.000,0.000,290448.627,500481.381,413921.500,359734.601,327179.510,289812.061,253722.555,232348.619,209410.572,191938.476,174743.145,158465.545,138491.373,125973.524,117967.850,106393.883,96205.165,89147.698,82808.327,77683.619,71055.429,66974.695,72606.089,67244.617,64321.906,60677.630,57235.834
126.3,0.000,0.000,178258.889,505898.358,419518.493,371253.416,330782.651,298364.920,266457.803,239929.038,218564.158,200148.599,181136.501,164297.174,144634.808,134988.793,122630.951,112338.786,103378.224,94885.681,86424.298,82440.496,76263.690,70394.121,77920.250,72574.133,68197.088,65118.013,60971.120
131.0,0.000,0.000,110623.061,507560.691,419838.415,373284.655,339009.276,303589.135,275018.497,246559.813,225865.015,205809.062,188171.172,168333.349,151796.863,136206.784,127113.402,116382.199,109339.795,98572.398,91492.751,84831.408,80690.349,74052.635,82449.611,75752.009,72758.061,68840.547,64515.990
135.8,0.000,0.000,75406.362,507254.047,418431.258,375933.715,343839.201,308947.994,278050.983,249254.693,230063.580,211252.864,192657.635,173248.664,158169.315,143577.621,134075.322,119813.406,114800.678,104922.187,96117.352,90191.967,82285.574,78538.570,87057.342,80139.948,77743.436,70917.982,68181.523
140.7,0.000,0.000,58221.885,501043.908,415629.568,372904.062,346016.700,310313.292,279474.608,255821.294,232663.461,214628.330,194937.220,178677.902,162665.392,146462.954,136123.322,124206.193,118138.824,105551.398,99096.201,93905.894,86752.511,81681.268,90559.683,84913.723,78904.235,73959.233,69838.249
145.9,1.647,0.000,57121.236,492982.547,407713.841,370329.827,340124.275,312347.847,280697.777,255843.088,234946.045,216728.555,198378.887,182438.094,166452.430,150089.393,137702.659,128160.513,120867.261,109886.711,103374.003,96526.666,89599.920,84336.739,92361.784,87514.140,80502.298,77760.392,72343.989
151.2,0.389,0.000,86864.206,472397.549,398977.432,361699.311,336462.546,308293.760,276884.405,254728.498,232506.590,216904.953,199470.115,183738.409,167869.275,152145.960,140967.873,128486.704,122547.927,113107.362,105168.960,97621.934,90262.781,87279.194,94622.810,88870.660,85106.471,78621.743,75594.498
