Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_LRH_20230517_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Date,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23
Start Time,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00
Diameter Midpoint
105.5,0,0,0,675475,549218,488124,430912,387143,344887,317976,293308,267807,246379,233363,212378,194843,189340,171967,164626,152258,142197,136405,124723,119550,113019,105430,99492.6,95236.8,89242.4
109.4,10.8898,0,18083.5,667918,542259,479963,425671,389323,345337,319120,291655,265322,249074,232996,215398,198934,190450,177294,165059,154138,145920,138101,128201,124333,114192,110241,103990,96866.9,92502.6
113.4,0,5.42952,120929,646819,531371,473976,422909,379777,346616,318394,294613,269036,248773,235724,214816,198784,191370,178982,169988,155031,146130,137638,132818,123171,116533,110046,106223,98537.1,92785.1
117.6,0,0,262785,614769,523089,459940,412063,376916,340036,315380,289058,267637,243044,234000,215608,198704,191793,177268,169335,157999,148231,138800,129282,124274,118153,114148,106225,99726.9,93975.4
121.9,0,0,379803,600398,498187,443952,401415,370668,333821,306093,285666,261182,243394,230226,213858,198291,192413,176342,168168,156395,150595,140903,132378,124086,120126,113261,106254,99425.4,96266.7
126.3,0,0,441444,572844,482739,434270,392498,355064,327529,303893,276656,258567,238890,229347,205933,193517,189884,174724,167019,155483,147825,141204,131705,126453,118339,113776,106947,100899,94432.4
131.0,0,0,451323,537881,461681,416097,374572,345555,315552,295699,271309,248360,231514,223801,206373,190861,187189,171545,163702,154000,146660,140201,130567,125004,116871,113143,105262,99942.3,94930.7
135.8,0,0,453412,506553,438662,391403,360220,333227,303412,281385,256032,244543,225731,214312,202378,185623,180922,169045,161759,152483,143195,135972,128452,122251,114848,110906,104615,97390.7,94462.3
140.7,0,0,469865,475337,412311,373719,344438,313895,288916,269084,249797,233260,217123,208678,194603,178730,175560,164154,158469,149074,141773,134435,123624,120626,112403,108235,103177,96394.6,93118.2
145.9,5.36077,0,449361,440420,385809,353601,326978,297568,276484,258191,242523,224665,210283,201727,185345,177398,169956,159013,150401,144779,137792,129728,122916,118586,110535,104938,100381,96180.4,90811
151.2,3.98828,0,409678,407088,356448,329655,303217,277295,258679,243281,226345,211338,198685,189801,176430,166282,162097,151400,144644,139146,132504,124185,117375,114232,106310,102939,97487.4,93752.6,88391.4
156.8,3.65194,5.3628,390519,371227,327117,303622,281745,258418,239362,225841,209230,199123,186842,179648,166760,157975,152986,145527,138327,133536,124403,118630,112794,108278,102476,99699.5,93143.6,89648.8,85728.8
162.5,0,0,381119,335441,300500,277377,256725,238641,222444,211444,200615,184938,174548,167061,156086,146202,145036,137833,131119,126319,120890,113100,107533,104278,97515.5,95309,90170.6,85424.3,82117.4
168.5,0,0,389550,301053,270075,250617,233991,218215,202117,193106,181857,171445,162303,154730,145225,137723,134620,128150,122429,117585,112412,107424,101257,98813,90785.8,88833.8,84789.5,80777.4,78037.7
174.7,0,0,391976,270540,240295,222366,210008,197208,181814,176014,167854,158325,148523,142680,133940,127610,125795,119785,114731,109238,105146,100928,93822.6,92867.3,87774,82894.3,79017.5,76981.1,73586.2
181.1,5.44849,0,369964,239782,213456,201204,186906,175565,164463,159799,150734,142332,134555,129520,122924,117031,114511,110331,104464,101241,97011,91211.7,88147.3,86921.7,80827.2,77321.4,75026.6,70472.9,68674.7
187.7,0,0,340481,206728,184991,177288,166091,156142,148416,143990,133429,129242,123983,116838,111783,106300,102745,100910,95872.9,94157.3,90470.2,85235.1,81485.1,79613.1,74528.8,72144.7,69836.8,65695.7,62879.7
