Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023
Start Time,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:01
Sample Temp (C),22.8,22.8,22.8,22.8,22.7,22.7,22.7,22.6,22.6,22.6,22.6,22.6,22.5,22.5,22.5,22.5,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.3
Sample Pressure (kPa),81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.0,81.0,81.0,80.9,80.9,80.9,80.8,80.8,80.8,80.7,80.7,80.7,80.7,80.6
Relative Humidity (%),16.9,16.4,16.1,15.8,15.6,15.4,15.2,15.1,15.0,14.9,14.8,14.8,14.7,14.7,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.5,14.6
Mean Free Path (m),8.39906e-008,8.39906e-008,8.39906e-008,8.39906e-008,8.39545e-008,8.39545e-008,8.39545e-008,8.39184e-008,8.39184e-008,8.39184e-008,8.40220e-008,8.40220e-008,8.39859e-008,8.40897e-008,8.40897e-008,8.40897e-008,8.41575e-008,8.41575e-008,8.41575e-008,8.42618e-008,8.42618e-008,8.42618e-008,8.42618e-008,8.43301e-008
Gas Viscosity (Pa*s),1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005
Diameter Midpoint (nm)
121.9,4.121,0.000,0.000,0.000,978658.739,600629.132,528311.472,457702.318,393994.862,352439.169,305245.239,277129.434,247865.692,213880.656,190848.595,171718.392,160750.218,142585.017,126332.229,116636.584,106884.771,98019.730,90294.350,81123.955
126.3,0.000,0.000,0.525,0.000,1052578.948,620296.648,542979.897,479350.433,419033.592,369799.929,326286.419,299976.356,260303.199,235580.332,207998.455,183766.203,171360.342,152751.254,137634.739,123950.223,114712.642,108027.371,98319.401,86942.740
131.0,1.743,0.000,0.000,1.894,1125762.739,657042.917,572699.970,494737.389,437046.391,390932.635,341617.843,311435.298,278138.801,252071.312,217711.408,197111.745,181612.338,164630.872,146618.392,132189.106,124992.123,113582.061,105277.035,94476.610
135.8,0.000,0.000,2.054,1.038,1179707.965,667697.422,585420.502,515668.522,457341.323,411171.267,358782.283,326496.531,291211.022,264112.042,232374.630,210112.493,192587.310,173537.026,158909.553,144592.270,133280.766,122325.520,113058.721,102187.941
140.7,2.050,0.000,0.000,1.584,1194895.662,683187.252,603089.553,534254.046,476616.550,426830.215,378075.147,345588.973,309879.650,276507.720,245708.129,222120.230,202593.997,182915.030,164734.683,151203.345,141129.606,129417.107,119467.424,107891.184
145.9,2.047,0.000,1.590,0.000,1204496.699,696657.296,612647.670,548933.602,487655.513,438514.357,389230.031,352261.157,316929.994,287178.039,257465.415,232582.462,209716.527,192303.686,173072.322,158039.083,148198.600,136357.301,125103.176,113034.004
151.2,6.158,2.330,0.000,0.000,1183945.626,709953.694,621849.978,560196.445,495295.894,451938.888,400513.174,367349.931,328655.018,295317.507,265747.913,241346.780,219082.761,200434.051,183663.364,166456.883,155269.849,143476.621,133025.450,119507.361
156.8,0.000,1.094,0.000,1.364,1129005.885,706595.524,632324.292,564058.755,501361.057,450644.747,410058.781,371290.183,334488.763,302301.378,273653.945,250625.058,225885.407,203782.106,187008.459,170670.740,160973.969,150233.764,139166.246,123534.862
162.5,2.055,1.235,0.000,3.848,1052649.785,699979.748,626889.598,564907.064,503898.678,460821.068,413160.608,375907.025,340583.185,309860.702,278108.391,255639.579,230287.380,208698.325,193011.326,175734.358,165131.095,152978.360,141609.119,127417.190
168.5,1.104,0.000,0.000,5.672,959278.350,694101.607,614830.461,561324.079,500329.765,457877.391,413158.884,378291.786,340855.943,310937.901,282258.693,259444.627,233073.858,210050.764,195009.287,176975.192,168536.062,154832.277,143573.187,129929.416
174.7,0.000,0.000,0.000,1.026,872454.270,674375.400,606264.874,548917.121,492996.601,447118.870,410097.962,378403.375,339840.008,306579.958,282377.332,258416.455,237545.669,212299.091,193830.925,179345.495,168371.410,157411.991,144556.534,132923.517
