Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230417.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Date,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23
Start Time,11:50:00,11:53:01,11:56:00,11:59:00,12:02:00,12:05:00,12:08:00,12:11:00,12:14:00,12:17:00,12:20:00,12:23:00,12:26:00,12:29:00,12:32:00,12:35:00,12:38:00,12:41:00
Diameter Midpoint
Low Voltage,11.1263,11.1317,11.1331,11.119,11.1254,11.1386,11.1118,11.1177,11.1073,11.1041,11.0974,11.1111,11.0987,11.0941,11.0955,11.095,11.1128,11.0886
High Voltage,9074.96,9075.9,9076.14,9075.57,9078.55,9082.71,9081.81,9086.58,9088.51,9089.82,9094.25,9096.63,9094.48,9089.95,9090.19,9086.37,9089.46,9083.38
Lower Size(nm),15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634
Upper Size(nm),723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394
Density(g/cc),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Title,,,,,,,,,,,,,,,,,,
Status Flag,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error 
td(s),0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286
tf(s),5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527
D50(nm),573.629,573.629,573.629,573.629,573.629,573.629,573.629,573.629,573.629,573.629,573.629,573.629,573.629,573.629,573.629,573.629,573.629,573.629
Median(nm),89.3141,69.4094,89.2637,106.859,111.981,120.77,125.704,129.26,132.237,134.947,137.33,139.314,141.074,142.618,144.09,145.157,146.456,147.714
Mean(nm),116.432,96.2612,106.996,124.851,118.788,127.886,132.961,136.474,139.453,142.087,144.591,146.469,148.298,149.731,151.368,152.335,153.54,154.875
Geo. Mean(nm),98.5106,71.9657,85.0117,98.1023,102.983,113.533,119.314,123.318,126.626,129.423,132.088,134.099,136.031,137.581,139.278,140.341,141.58,142.914
Mode(nm),162.531,39.9542,18.7688,18.7688,135.773,140.746,145.902,140.746,140.746,151.247,145.902,145.902,151.247,156.788,151.247,151.247,151.247,156.788
Geo. Std. Dev.,1.791,2.12721,2.03912,2.12794,1.76175,1.67066,1.62549,1.59662,1.57642,1.56364,1.55141,1.54245,1.53452,1.52744,1.52141,1.5167,1.51288,1.50992
Total Concentration(#/cm³),3.51432,6.26028,5.80194,5.68159,723774,555011,480025,421729,374008,332665,297924,268746,242160,219740,199842,182325,166922,153261
Comment,,,,,,,,,,,,,,,,,,
