Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230410.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23
Start Time,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:01,12:13:00,12:16:01,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:01,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:00
Diameter Midpoint
278.8,0,0,0,0,59426.3,56062.5,50402.3,46908.6,49574.9,49014.7,43796.2,38529.5,39386.4,39788.9,37677.5,36070.8,33867.7,32749.5,30642.7,27476.4,28041.8,25856.1,21697.9,22052.9
289.0,0,0,0,0,46158.2,45075.4,41373.1,37587.6,39204.4,39689.5,35381.7,31574.7,32935.1,32968,31252.2,29800.2,28543,26369,24756.7,23150.4,22344,21239.8,17929.1,17449.6
299.6,0,0,0,0,35648.1,35116.7,31455.4,28917.8,31086.1,30605.8,28266.6,24669.8,26423.1,26107.7,23746.6,23084.5,21998.6,20828.7,20263.6,18943.4,17276.6,16537.2,14650.9,14416.5
310.6,0,0,0,0,26294.8,26268,23997.1,22230.5,24536.4,22744,20281,19002.8,21167.5,19584.5,18319.3,18167.8,17588.3,16124.2,15544.9,14870.9,13893.1,13433.7,10760.4,10945.2
322.0,0,0,0,0,19252.3,20243.6,17885.9,17121.1,18428.8,17873,16163.3,14988.8,15251.9,14678.7,14125.1,13553.3,13568.2,13204.8,11590.6,11076.8,10399,10110.9,8890.46,8613.42
333.8,0,0,0,0,13423.9,13784.5,13642.6,12435.3,12843.8,12768.8,11328.6,10480.4,10567.3,10910.2,10795.2,10147.4,9910.78,9672.45,8553.66,8313.21,7559.6,7832.62,6504.6,6421.35
346.0,0,0,0,0,9151.6,9845.86,8844.25,8591.87,9373.03,9474.29,8368.19,7401.08,8060.98,7904.95,7613.99,6964.08,7163.47,6799.36,6389.09,5831.85,5700.69,5583.45,4690.23,4716.8
358.7,0,0,0,0,6278.44,6851.61,6358.41,5863.49,6406.36,6137.01,5639.47,5250.66,5653.02,5653.53,5468.05,5233.69,5188.91,4649.12,4437.32,4660.61,3855.02,4074.32,3068.05,3505.09
371.8,0,0,0,0,4071.09,4515.35,4043.53,3973.46,4296.43,4041.97,3988.22,3526.95,3904.65,3836.41,3417.96,3525.64,3311.55,3249.86,3075.21,3006.11,2658.31,2644.69,2270.2,2372.4
385.4,0,0,0,0,2796.56,2759.13,2722.72,2675.2,2814.65,2888.31,2582.65,2145.8,2322.3,2420.07,2198.36,2180.98,2139.98,2156.73,1881.68,1919.75,1887.07,1815.1,1445.08,1433.92
399.5,0,0,0,0,1580.7,1832.48,1658.55,1533.23,1620.73,1663.26,1545.61,1632.63,1414.4,1448.97,1360.38,1287.48,1335.4,1287.75,1454.58,1284.32,1284.22,1219.72,1014.79,1004.22
414.2,0,0,0,0,820.805,995.391,1040.3,1043.11,984.528,924.308,1050.01,1001.43,939.742,944.471,949.821,875.908,1061.99,762.196,772.822,884.049,760.981,706.054,506.209,612.854
429.4,0,0,0,0,502.901,496.319,639.269,659.66,616.758,605.997,703.736,484.792,437.953,505.952,501.526,622.98,466.956,540.276,549.012,391.883,444.043,425.191,410.737,336.186
445.1,0,0,0,0,341.089,286.05,419.295,298.605,305.894,339.592,286.902,413.264,344.009,414.52,273.094,317.198,300.27,283.298,257.784,187.273,245.837,293.263,235.713,172.571
461.4,0,0,0,0,135.841,184.138,167.252,160.589,135.853,161.799,183.557,161.195,199.257,137.063,191.397,135.25,145.496,144.913,147.288,137.646,125.003,56.147,125.004,133.458
